neuronsPerLayer,hiddenLayers,gen,score,count
1,1,54,53.0,2
1,1,54,54.0,1
1,1,54,55.0,1
1,1,54,56.0,4
1,1,54,58.0,3
1,1,55,37.0,1
1,1,55,38.0,1
1,1,55,40.0,1
1,1,55,42.0,4
1,1,55,44.0,3
1,1,55,45.0,2
1,1,55,46.0,2
1,1,55,47.0,1
1,1,55,49.0,3
1,1,55,51.0,3
1,1,55,52.0,1
1,1,55,53.0,1
1,1,55,56.0,1
1,1,55,57.0,1
1,1,56,33.0,1
1,1,56,39.0,2
1,1,56,42.0,2
1,1,56,43.0,1
1,1,56,44.0,1
1,1,56,45.0,3
1,1,56,47.0,3
1,1,56,48.0,2
1,1,56,49.0,1
1,1,56,50.0,3
1,1,56,52.0,3
1,1,56,53.0,2
1,1,56,54.0,1
1,1,57,38.0,1
1,1,57,39.0,1
1,1,57,40.0,1
1,1,57,41.0,1
1,1,57,42.0,1
1,1,57,45.0,2
1,1,57,46.0,2
1,1,57,47.0,1
1,1,57,48.0,4
1,1,57,50.0,1
1,1,57,51.0,2
1,1,57,52.0,1
1,1,57,53.0,3
1,1,57,54.0,2
1,1,57,55.0,1
1,1,57,56.0,1
1,1,58,34.0,1
1,1,58,41.0,1
1,1,58,42.0,1
1,1,58,43.0,2
1,1,58,44.0,2
1,1,58,47.0,5
1,1,58,49.0,3
1,1,58,50.0,2
1,1,58,51.0,2
1,1,58,52.0,2
1,1,58,54.0,1
1,1,58,55.0,1
1,1,58,56.0,1
1,1,58,62.0,1
1,1,59,36.0,1
1,1,59,44.0,6
1,1,59,45.0,1
1,1,59,46.0,2
1,1,59,47.0,2
1,1,59,48.0,3
1,1,59,49.0,1
1,1,59,52.0,4
1,1,59,53.0,1
1,1,59,56.0,2
1,1,59,57.0,2
1,1,60,40.0,2
1,1,60,41.0,1
1,1,60,42.0,1
1,1,60,44.0,2
1,1,60,45.0,3
1,1,60,46.0,2
1,1,60,47.0,1
1,1,60,49.0,3
1,1,60,50.0,2
1,1,60,51.0,1
1,1,60,52.0,1
1,1,60,53.0,2
1,1,60,54.0,1
1,1,60,56.0,2
